coin,fundingRate,premium,time
BTC,0.0000125,-0.0000482601,1738951200016
BTC,0.0000125,0.000014639,1738954800005
BTC,0.0000125,-0.0001792214,1738958400065
BTC,0.0000125,-0.0002320637,1738962000062
BTC,0.0000125,-0.000097851,1738965600078
BTC,0.0000125,-0.0003050896,1738969200096
BTC,0.0000125,0.0000567872,1738972800061
BTC,0.0000125,-0.0000064742,1738976400270
BTC,0.0000125,0.0000873396,1738980000081
BTC,0.0000125,0.0001480436,1738983600085
BTC,0.0000125,0.0003069679,1738987200068
BTC,0.0000125,0.0000507511,1738990800066
BTC,0.0000125,-0.0002411977,1738994400016
BTC,0.0000125,-0.0003839144,1738998000167
BTC,0.0000125,-0.0002914354,1739001600073
BTC,0.0000125,-0.0003257091,1739005200063
BTC,0.0000125,-0.000289079,1739008800010
BTC,0.0000125,-0.0001590417,1739012400037
BTC,0.0000125,-0.0002917177,1739016000097
BTC,0.0000125,-0.0002487962,1739019600054
BTC,0.0000125,-0.0000950516,1739023200123
BTC,0.0000125,-0.0002101576,1739026800175
BTC,0.0000125,-0.0002892149,1739030400027
BTC,0.0000125,-0.0003695335,1739034000013
BTC,0.0000025036,-0.0004799715,1739037600027
BTC,0.0000125,-0.000355438,1739041200041
BTC,0.0000125,-0.0002642594,1739044800130
BTC,0.0000125,-0.0003730393,1739048400089
BTC,0.0000125,-0.0003100545,1739052000032
BTC,0.0000125,-0.000382512,1739055600038
BTC,0.0000125,-0.0002634215,1739059200027
BTC,0.0000074495,-0.0004404036,1739062800059
BTC,0.0000125,-0.0003443356,1739066400063
BTC,0.0000125,-0.0003340763,1739070000004
BTC,0.0000125,-0.0003829291,1739073600125
BTC,0.0000082962,-0.0004336302,1739077200016
BTC,0.0000125,-0.0003993009,1739080800042
BTC,-0.0000006807,-0.000505446,1739084400093
BTC,0.000003243,-0.0004740561,1739088000096
BTC,0.0000125,-0.0003826742,1739091600053
BTC,0.0000125,-0.0003575528,1739095200009
BTC,0.0000116636,-0.0004066915,1739098800049
BTC,-0.0000026773,-0.0005214182,1739102400016
BTC,0.0000106676,-0.0004146589,1739106000027
BTC,0.0000088382,-0.0004292945,1739109600041
BTC,0.0000125,-0.000393903,1739113200018
BTC,0.0000125,-0.0002726144,1739116800041
BTC,0.0000125,-0.0003337456,1739120400072
BTC,0.0000125,-0.0003746604,1739124000046
BTC,0.0000125,-0.0002993106,1739127600019
BTC,0.0000125,-0.0003983749,1739131200172
BTC,0.0000125,-0.0001402616,1739134800024
BTC,0.0000125,-0.0003678931,1739138400040
BTC,0.0000125,-0.0002817605,1739142000039
BTC,0.0000125,-0.0000040977,1739145600080
BTC,0.0000125,-0.0000019693,1739149200072
BTC,0.0000125,-0.0001632379,1739152800014
BTC,0.0000125,-0.0000754387,1739156400011
BTC,0.0000125,-0.0000204257,1739160000099
BTC,0.0000125,0.0001436282,1739163600052
BTC,0.0000125,0.0002200848,1739167200048
BTC,0.0000125,0.000007808,1739170800061
BTC,0.0000125,0.0001903616,1739174400078
BTC,0.0000125,0.0001291019,1739178000043
BTC,0.0000125,0.0001165338,1739181600022
BTC,0.0000125,0.0001834317,1739185200015
BTC,0.0000125,0.0002124174,1739188800010
BTC,0.0000125,-0.0000281016,1739192400063
BTC,0.0000125,-0.0000439257,1739196000046
BTC,0.0000125,-0.000065245,1739199600051
BTC,0.0000125,0.0000803242,1739203200010
BTC,0.0000125,0.000128759,1739206800040
BTC,0.0000125,0.0001333935,1739210400009
BTC,0.0000125,0.0002412852,1739214000106
BTC,0.0000125,0.0004011336,1739217600018
BTC,0.0000125,0.0001244642,1739221200008
BTC,0.0000125,0.0000592735,1739224800068
BTC,0.0000125,0.0000725824,1739228400090
BTC,0.0000125,-0.0001356222,1739232000034
BTC,0.0000125,0.0001691765,1739235600057
BTC,0.0000125,0.0001932498,1739239200033
BTC,0.0000125,0.0001430358,1739242800083
BTC,0.0000125,0.0000421316,1739246400004
BTC,0.0000125,0.0001245207,1739250000064
BTC,0.0000125,0.0002234494,1739253600030
BTC,0.0000125,-0.0000547282,1739257200031
BTC,0.0000125,0.0001346085,1739260800197
BTC,0.0000125,0.0000498405,1739264400001
BTC,0.0000125,-0.0001196785,1739268000093
BTC,0.0000125,-0.0001428769,1739271600025
BTC,0.0000125,-0.0002130551,1739275200028
BTC,0.0000125,-0.0002431659,1739278800140
BTC,0.0000125,-0.0002070327,1739282400065
BTC,0.0000125,-0.0000249178,1739286000039
BTC,0.0000125,0.0000904094,1739289600035
BTC,0.0000125,0.0001913342,1739293200025
BTC,0.0000125,0.0000622378,1739296800142
BTC,0.0000125,0.0002288092,1739300400040
BTC,0.0000125,0.0003956397,1739304000012
BTC,0.0000178752,0.0006430012,1739307600058
BTC,0.0000125,0.0005638091,1739311200091
BTC,0.0000125,0.0000452637,1739314800017
BTC,0.0000125,0.0001742791,1739318400058
BTC,0.0000125,0.0002727415,1739322000080
BTC,0.0000125,0.0001377191,1739325600079
BTC,0.0000125,0.0000804856,1739329200082
BTC,0.0000125,0.0001422411,1739332800048
BTC,0.0000125,0.0000472229,1739336400105
BTC,0.0000125,0.0002778661,1739340000102
BTC,0.0000125,0.0002566726,1739343600002
BTC,0.0000125,0.0004691625,1739347200047
BTC,0.0000125,0.0005418825,1739350800185
BTC,0.0000125,0.0003993582,1739354400044
BTC,0.0000125,0.0002880727,1739358000017
BTC,0.0000125,0.0003022419,1739361600046
BTC,0.0000125,0.0004414174,1739365200018
BTC,0.0000125,0.0002596234,1739368800067
BTC,0.0000125,0.0002399074,1739372400134
BTC,0.0000125,0.0002995049,1739376000013
BTC,0.0000125,0.0004866734,1739379600103
BTC,0.0000125,0.0004128028,1739383200093
BTC,0.0000125,0.0002766014,1739386800226
BTC,0.0000125,0.0004258251,1739390400093
BTC,0.0000125,0.0004518292,1739394000045
BTC,0.0000125,0.0005731679,1739397600030
BTC,0.0000125,0.0005357884,1739401200100
